,NOC,cnt,pop2021,ppl_per_athlete,athlete_per_mil
14,New Zealand,202,4860643,24063,41.55828765864928
26,Ireland,116,4982907,42956,23.279583584441774
46,Jamaica,60,2973463,49558,20.178492215978473
2,Australia,470,25788215,54869,18.225379306012456
29,Denmark,103,5813298,56440,17.71799759792118
32,Norway,92,5465630,59409,16.83246030192311
18,Hungary,155,9634164,62156,16.08857810599861
12,Netherlands,274,17173099,62676,15.95518665559431
48,Croatia,57,4081651,71608,13.964937227607162
27,Switzerland,115,8715494,75787,13.194891764023932
22,Sweden,129,10160169,78761,12.696639199603865
28,Belarus,104,9442862,90797,11.013610068642326
25,Czech Republic,117,10724555,91663,10.909543566143304
23,Belgium,125,11632326,93059,10.745916165004317
35,Israel,85,8789774,103409,9.670328270101143
6,Canada,368,38067903,103445,9.666936474015918
36,Serbia,83,8697550,104790,9.542917258308375
34,Portugal,85,10167925,119623,8.359621063294625
39,Austria,72,9043070,125598,7.961897895294408
38,Greece,75,10370744,138277,7.231882302754749
9,Spain,324,46745216,144275,6.931190562901667
40,Cuba,69,11317505,164022,6.096750122929038
8,Italy,356,60367477,169572,5.8972151511317925
5,France,377,65426179,173544,5.762219432071679
45,Dominican Republic,61,10953703,179569,5.568893003580616
7,Great Britain,366,68207116,186358,5.366009024630216
31,Romania,99,19127774,193210,5.175719872056205
15,Poland,195,37797005,193831,5.15913893177515
33,Kazakhstan,92,18994962,206467,4.843389526128034
49,Tunisia,57,11935766,209399,4.775562791696821
4,Germany,400,83900473,209751,4.767553575055531
1,Japan,586,126050804,215104,4.648919177064511
13,South Korea,223,51305186,230068,4.346539158828895
16,Argentina,180,45605826,253366,3.946864157224123
20,Ukraine,152,43466819,285966,3.496920260026389
17,South Africa,171,60041994,351123,2.848006680124581
10,Russia,318,145912025,458843,2.1793954267991276
44,Uzbekistan,63,33935763,538663,1.8564486085077858
0,United States,615,332915073,541325,1.847317979501637
37,Kenya,78,54985698,704945,1.4185506929456455
11,Brazil,291,213993437,735373,1.3598547884438157
21,Egypt,133,104258327,783897,1.2756774813775786
43,Colombia,64,51265844,801029,1.2483945451088252
30,Turkey,102,85042738,833752,1.1993969432169505
19,Mexico,155,130262216,840401,1.1899075937722416
47,Nigeria,59,211400708,3583063,0.2790908344545374
3,China,401,1444216107,3601536,0.27765927692980646
24,India,117,1393409038,11909479,0.08396672966032534
